TrialNo	MovNo	NbrCycles	X	Y	Z	Rz	Fx	Fx_control	Fy	Fy_control	Fz	Fz_control	TrigCam	Relative	Acc
1	1	1000	-18.31	-5.07	0	0	0	0	0	0	0	0	0	1	100000
1	2	4272	-18.31	-5.07	0	0	0	0	0	0	0	0	0	1	100000
1	3	900	-18.31	-5.07	-15	0	0	0	0	0	0	0	0	1	100000
1	4	1000	-18.31	-5.07	-15	0	0	0	0	0	0	0	0	1	100000
1	5	900	-18.31	-5.07	0	0	0	0	0	0	0	0	0	1	100000
2	1	1000	0.66	13.98	0	0	0	0	0	0	0	0	0	1	100000
2	2	6870	0.66	13.98	0	0	0	0	0	0	0	0	0	1	100000
2	3	900	0.66	13.98	-15	0	0	0	0	0	0	0	0	1	100000
2	4	1000	0.66	13.98	-15	0	0	0	0	0	0	0	0	1	100000
2	5	900	0.66	13.98	0	0	0	0	0	0	0	0	0	1	100000
3	1	1000	10.96	-4.88	0	0	0	0	0	0	0	0	0	1	100000
3	2	5197	10.96	-4.88	0	0	0	0	0	0	0	0	0	1	100000
3	3	900	10.96	-4.88	-15	0	0	0	0	0	0	0	0	1	100000
3	4	1000	10.96	-4.88	-15	0	0	0	0	0	0	0	0	1	100000
3	5	900	10.96	-4.88	0	0	0	0	0	0	0	0	0	1	100000
4	1	1000	17.38	-7.68	0	0	0	0	0	0	0	0	0	1	100000
4	2	4104	17.38	-7.68	0	0	0	0	0	0	0	0	0	1	100000
4	3	900	17.38	-7.68	-15	0	0	0	0	0	0	0	0	1	100000
4	4	1000	17.38	-7.68	-15	0	0	0	0	0	0	0	0	1	100000
4	5	900	17.38	-7.68	0	0	0	0	0	0	0	0	0	1	100000
5	1	1000	-11.2	15.35	0	0	0	0	0	0	0	0	0	1	100000
5	2	7634	-11.2	15.35	0	0	0	0	0	0	0	0	0	1	100000
5	3	900	-11.2	15.35	-15	0	0	0	0	0	0	0	0	1	100000
5	4	1000	-11.2	15.35	-15	0	0	0	0	0	0	0	0	1	100000
5	5	900	-11.2	15.35	0	0	0	0	0	0	0	0	0	1	100000
6	1	1000	13.77	-2.54	0	0	0	0	0	0	0	0	0	1	100000
6	2	7256	13.77	-2.54	0	0	0	0	0	0	0	0	0	1	100000
6	3	900	13.77	-2.54	-15	0	0	0	0	0	0	0	0	1	100000
6	4	1000	13.77	-2.54	-15	0	0	0	0	0	0	0	0	1	100000
6	5	900	13.77	-2.54	0	0	0	0	0	0	0	0	0	1	100000
7	1	1000	4.94	10.94	0	0	0	0	0	0	0	0	0	1	100000
7	2	5301	4.94	10.94	0	0	0	0	0	0	0	0	0	1	100000
7	3	900	4.94	10.94	-15	0	0	0	0	0	0	0	0	1	100000
7	4	1000	4.94	10.94	-15	0	0	0	0	0	0	0	0	1	100000
7	5	900	4.94	10.94	0	0	0	0	0	0	0	0	0	1	100000
8	1	1000	-11.93	5.17	0	0	0	0	0	0	0	0	0	1	100000
8	2	5735	-11.93	5.17	0	0	0	0	0	0	0	0	0	1	100000
8	3	900	-11.93	5.17	-15	0	0	0	0	0	0	0	0	1	100000
8	4	1000	-11.93	5.17	-15	0	0	0	0	0	0	0	0	1	100000
8	5	900	-11.93	5.17	0	0	0	0	0	0	0	0	0	1	100000
9	1	1000	12.07	-7.09	0	0	0	0	0	0	0	0	0	1	100000
9	2	5522	12.07	-7.09	0	0	0	0	0	0	0	0	0	1	100000
9	3	900	12.07	-7.09	-15	0	0	0	0	0	0	0	0	1	100000
9	4	1000	12.07	-7.09	-15	0	0	0	0	0	0	0	0	1	100000
9	5	900	12.07	-7.09	0	0	0	0	0	0	0	0	0	1	100000
10	1	1000	-12.71	-9.72	0	0	0	0	0	0	0	0	0	1	100000
10	2	3246	-12.71	-9.72	0	0	0	0	0	0	0	0	0	1	100000
10	3	900	-12.71	-9.72	-15	0	0	0	0	0	0	0	0	1	100000
10	4	1000	-12.71	-9.72	-15	0	0	0	0	0	0	0	0	1	100000
10	5	900	-12.71	-9.72	0	0	0	0	0	0	0	0	0	1	100000
11	1	1000	10.6	7.53	0	0	0	0	0	0	0	0	0	1	100000
11	2	3807	10.6	7.53	0	0	0	0	0	0	0	0	0	1	100000
11	3	900	10.6	7.53	-15	0	0	0	0	0	0	0	0	1	100000
11	4	1000	10.6	7.53	-15	0	0	0	0	0	0	0	0	1	100000
11	5	900	10.6	7.53	0	0	0	0	0	0	0	0	0	1	100000
12	1	1000	15.46	4.11	0	0	0	0	0	0	0	0	0	1	100000
12	2	4826	15.46	4.11	0	0	0	0	0	0	0	0	0	1	100000
12	3	900	15.46	4.11	-15	0	0	0	0	0	0	0	0	1	100000
12	4	1000	15.46	4.11	-15	0	0	0	0	0	0	0	0	1	100000
12	5	900	15.46	4.11	0	0	0	0	0	0	0	0	0	1	100000
13	1	1000	-1.69	16.92	0	0	0	0	0	0	0	0	0	1	100000
13	2	3383	-1.69	16.92	0	0	0	0	0	0	0	0	0	1	100000
13	3	900	-1.69	16.92	-15	0	0	0	0	0	0	0	0	1	100000
13	4	1000	-1.69	16.92	-15	0	0	0	0	0	0	0	0	1	100000
13	5	900	-1.69	16.92	0	0	0	0	0	0	0	0	0	1	100000
14	1	1000	11.78	-2.31	0	0	0	0	0	0	0	0	0	1	100000
14	2	7066	11.78	-2.31	0	0	0	0	0	0	0	0	0	1	100000
14	3	900	11.78	-2.31	-15	0	0	0	0	0	0	0	0	1	100000
14	4	1000	11.78	-2.31	-15	0	0	0	0	0	0	0	0	1	100000
14	5	900	11.78	-2.31	0	0	0	0	0	0	0	0	0	1	100000
15	1	1000	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
15	2	3168	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
15	3	900	1.33	11.93	-15	0	0	0	0	0	0	0	0	1	100000
15	4	1000	1.33	11.93	-15	0	0	0	0	0	0	0	0	1	100000
15	5	900	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
16	1	1000	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
16	2	3355	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
16	3	900	-11.63	5.8	-15	0	0	0	0	0	0	0	0	1	100000
16	4	1000	-11.63	5.8	-15	0	0	0	0	0	0	0	0	1	100000
16	5	900	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
17	1	1000	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
17	2	3024	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
17	3	900	-9.06	-9.32	-15	0	0	0	0	0	0	0	0	1	100000
17	4	1000	-9.06	-9.32	-15	0	0	0	0	0	0	0	0	1	100000
17	5	900	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
18	1	1000	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
18	2	3366	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
18	3	900	1.19	-13.95	-15	0	0	0	0	0	0	0	0	1	100000
18	4	1000	1.19	-13.95	-15	0	0	0	0	0	0	0	0	1	100000
18	5	900	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
19	1	1000	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
19	2	4614	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
19	3	900	14.83	2.22	-15	0	0	0	0	0	0	0	0	1	100000
19	4	1000	14.83	2.22	-15	0	0	0	0	0	0	0	0	1	100000
19	5	900	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
20	1	1000	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
20	2	3866	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
20	3	900	-0.58	-10.98	-15	0	0	0	0	0	0	0	0	1	100000
20	4	1000	-0.58	-10.98	-15	0	0	0	0	0	0	0	0	1	100000
20	5	900	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
